,CART Obj,CART Runtime,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,PBS Memory Usage,PBS Walltime,PBS CPUtime
2846,168,0.0315063,0.999072,0.53,1.24,0.999071991,2.60791111,4.852693085,0.999071991,3.93178916,7.880222009,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.806092308,0.945296998,0.172690756,3600.00399,213716,299312648,0.291039528,TRUE,TRUE,Baseline,FALSE,2,0.0004,1651,3600,1,0,0,0.05,-1,-1,0,0.384652,3604,3550
2847,168,0.033187389,0.999768,0.79,1.82,0.999767995,2.823418856,5.165272651,0.999767995,3.881220818,7.586374202,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.807292308,0.913469441,0.131522539,3600.004237,214541,725223873,0.283945472,TRUE,TRUE,Baseline,FALSE,2,0.0001,1655,3600,1,0,0,0.05,-1,-1,0,0.358176,3604,3555
2848,154,0.058515787,0.7742861,1.98,4.18,0.774038462,8.924714088,16.31760571,0.774038462,19.77300096,38.90703864,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.540384615,0.590384615,0.09252669,3600.008275,55203,392344304,0.386955864,TRUE,TRUE,Baseline,FALSE,3,0.1,1661,3600,1,0,0,0.05,-1,-1,0,0.369824,3605,3551
2849,154,0.058256865,0.8179263,1.28,2.92,0.817926276,7.449416876,14.70365713,0.816333558,21.25534391,41.61040264,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.580384615,0.675152695,0.163284962,3600.009093,64374,-1886390420,0.376852256,TRUE,TRUE,Baseline,FALSE,3,0.08,1663,3600,1,0,0,0.05,-1,-1,0,0.416136,3605,3557
2850,143,0.073482752,0.6512192,12.1,27.7,0.650961538,17.52649784,38.88057291,0.650961538,28.97026396,65.74802529,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.4875,0.578846154,0.187376726,3600.009384,54600,1633840151,0.394964864,TRUE,TRUE,Baseline,FALSE,3,0.1,1660,3600,1,0,0,0.05,-1,-1,0,0.511892,3605,3549
2851,143,0.073172808,0.7209645,10.12,21.89,0.720964482,17.22595501,36.18022001,0.720964482,32.84629512,73.72441583,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.5275,0.662912962,0.256707038,3600.009349,53358,314270698,0.341294296,TRUE,TRUE,Baseline,FALSE,3,0.08,1662,3600,1,0,0,0.05,-1,-1,0,0.413632,3605,3559
2852,154,0.058690786,0.8624404,1.24,2.76,0.862440381,7.834026098,15.53377702,0.861416103,19.36234999,37.94807595,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.620384615,0.755787106,0.218255719,3600.021702,70139,860937471,0.377175144,TRUE,TRUE,Baseline,FALSE,3,0.06,1665,3600,1,0,0,0.05,-1,-1,0,0.457248,3605,3552
2853,154,0.058474302,0.9075278,1.09,2.4,0.907504637,9.272616863,17.58108374,0.907458991,21.1740489,39.30462447,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.660384615,0.832563577,0.260725277,3600.007738,68158,-661308060,0.394502728,TRUE,TRUE,Baseline,FALSE,3,0.04,1667,3600,1,0,0,0.05,-1,-1,0,0.426176,3605,3548
2854,143,0.073830843,0.7907234,12.07,27.25,0.790723362,17.8158989,38.66244526,0.790723362,36.01914001,82.48141126,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.5675,0.737129224,0.298906122,3600.009145,90111,-352864271,0.411240432,TRUE,TRUE,Baseline,FALSE,3,0.06,1664,3600,1,0,0,0.05,-1,-1,0,0.537004,3605,3553
2855,154,0.073496819,0.8604822,10.38,23.02,0.860482241,15.23559594,32.50063672,0.860482241,29.81093287,66.95512255,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.620384615,0.829277491,0.336715113,3600.002127,22883,1069360755,0.389241632,TRUE,TRUE,Baseline,FALSE,3,0.04,1666,3600,1,0,0,0.05,-1,-1,0,0.453084,3605,3551
2856,178,0.058718681,0.9535997,1.03,2.25,0.953595578,7.719756126,14.64886132,0.953581822,15.845891,29.70226424,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.735769231,0.909387826,0.235968818,3600.007599,105622,168571611,0.44831388,TRUE,TRUE,Baseline,FALSE,3,0.02,1669,3600,1,0,0,0.05,-1,-1,0,0.518636,3605,3551
2857,168,0.074473858,0.9302411,11.87,27.38,0.930241121,16.72417092,36.87768821,0.930241121,31.47722697,70.87977618,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.707692308,0.90263682,0.275465071,3600.010642,59499,708988410,0.328803056,TRUE,TRUE,Baseline,FALSE,3,0.02,1668,3600,1,0,0,0.05,-1,-1,0,0.390396,3605,3551
2858,182,0.059992552,0.9767998,1.1,2.38,0.976797889,8.974786997,16.49672002,0.976790911,15.61891723,28.46437897,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.805,0.956493601,0.188190808,3600.009435,44063,-393429713,0.403857936,TRUE,TRUE,Baseline,FALSE,3,0.01,1671,3600,1,0,0,0.05,-1,-1,0,0.363812,3604,3550
2859,168,0.074770212,0.9651206,11.08,25.9,0.96512056,15.8800509,35.25222844,0.96512056,32.31863999,72.09108447,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.757692308,0.949120812,0.252646757,3600.00889,43526,1288188338,0.328954672,TRUE,TRUE,Baseline,FALSE,3,0.01,1670,3600,1,0,0,0.05,-1,-1,0,0.416032,3606,3552
2860,184,0.057691813,0.9814399,1.1,2.45,0.981438231,6.008786917,11.18417287,0.981432729,12.71381092,25.01198111,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.820615385,0.966593565,0.177888671,3600.004452,29985,-273365072,0.433184248,TRUE,TRUE,Baseline,FALSE,3,0.008,1673,3600,1,0,0,0.05,-1,-1,0,0.43394,3605,3559
2861,184,0.058553934,0.9860799,1.12,2.47,0.986078674,5.769695997,10.69025833,0.986074547,12.45918202,24.40959842,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.836615385,0.973972701,0.164182154,3600.007787,41907,218325459,0.396909472,TRUE,TRUE,Baseline,FALSE,3,0.006,1675,3600,1,0,0,0.05,-1,-1,0,0.402852,3605,3560
2862,173,0.075643778,0.9720964,10.78,24.63,0.972096448,15.4635272,33.81289835,0.972096448,29.67476416,66.74018684,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.767730769,0.966499296,0.258903947,3600.002517,14094,-2113008209,0.329417584,TRUE,TRUE,Baseline,FALSE,3,0.008,1672,3600,1,0,0,0.05,-1,-1,0,0.377508,3605,3552
2863,173,0.073935747,0.9790723,11.37,26.3,0.979072336,16.48350716,36.63061654,0.979072336,31.01898217,71.18364746,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Buckets,5,60,0,60,300,2,9,0.783730769,0.960583384,0.225654806,3600.009157,47128,-1529505467,0.329170272,TRUE,TRUE,Baseline,FALSE,3,0.006,1674,3600,1,0,0,0.05,-1,-1,0,0.391736,3605,3560
2864,184,0.060223818,0.9907199,1.22,2.7,0.990719156,5.822577953,10.75945398,0.990716364,12.41892004,24.51871694,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.852615385,0.982253728,0.152047858,3600.007613,42649,-570392030,0.385404176,TRUE,TRUE,Baseline,FALSE,3,0.004,1677,3600,1,0,0,0.05,-1,-1,0,0.385084,3605,3557
2865,184,0.058931828,0.99536,1.25,2.81,0.995359578,5.902507067,10.95949256,0.995358182,12.54451895,24.10077424,FlowRegOCT,21/07/2025 15:44,sonar,Quantile Thresholds,5,60,0,60,240,2,9,0.868615385,0.992,0.142047467,3600.003016,16565,1467643348,0.41750176,TRUE,TRUE,Baseline,FALSE,3,0.002,1679,3600,1,0,0,0.05,-1,-1,0,0.482576,3605,3557
