Subjob id,Array Job id,Accuracy,Worst Class Accuracy,Benders Cuts - Cuts Added,Benders Cuts - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,EQP Initial Cuts - Auxiliary Vars,EQP Initial Cuts - Cuts,EQP Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,Presolve,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Benders Cuts-Relax w,Benders Cuts-EC Level,Solution Polishing-Enabled,Solution Polishing-Check Validity,Solution Polishing-Use Cache,EQP Initial Cuts-Enabled,EQP Initial Cuts-Features Removed,EQP Initial Cuts-H Variant,EQP Initial Cuts-Disaggregate Alpha,EQP Initial Cuts-Group Selection,EQP Initial Cuts-Ignore Dataset Check,EQP Initial Cuts-Filter Dominated,EQP Initial Cuts-Beta Dependence,Memory,Walltime,CPUtime
201,23572848[].aqua,68.72,67.98,7051,4.496107339859009,0,0,5723,8498,0.2838420867919922,0.6914231,0.33,0.31,0.6914231184181893,1.2515580654144287,0.8464403552147132,0.6789842733879724,4.0627100467681885,3.011693641538085,BendWorstOCT,2026-07-10 07:56:23,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,9,0.6497752808988764,0.660011997282826,0.0157542410197391,3600.0052790641785,114756.0,-426821914,0.358125768,False,False,EQP,False,4,0.006,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.512196,3608,3573
200,23572848[].aqua,69.25,69.1,6241,2.7379226684570312,0,0,5723,8498,0.1704516410827636,0.6824811,0.24,0.3,0.6824810910423866,0.6971619129180908,0.7673301603102577,0.6702015909537543,2.035569906234741,2.331571174321686,BendWorstOCT,2026-07-10 07:56:20,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,2,0.6430112359550564,0.6430112359550564,0.0,1600.1971549987793,73884.0,910628091,0.231197144,False,False,EQP,False,4,0.008,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.360492,1605,1590
199,23572848[].aqua,67.91,67.42,5674,1.414569616317749,0,0,5723,8498,0.1590645313262939,0.6745402,0.3,0.42,0.6745402346337959,1.0321390628814695,0.9213614850880668,0.664146613313037,3.5908801555633545,3.5084800028789136,BendWorstOCT,2026-07-10 07:56:20,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,2,0.6341578651685454,0.6341578651685454,0.0,487.4759011268616,22252.0,-1164152885,0.162366232,False,False,EQP,False,4,0.01,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.291088,492,487
198,23572848[].aqua,69.39,66.29,4777,0.6689813137054443,0,0,5723,8498,0.177173376083374,0.6489344,0.38,0.67,0.648934389051671,0.7888710498809814,1.079380340094004,0.6364022428340163,3.398798942565918,3.338227124221012,BendWorstOCT,2026-07-10 07:55:27,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,2,0.6029213483146079,0.6029213483146079,0.0,65.53715515136719,1576.0,-1127303141,0.1772876,False,False,EQP,False,4,0.02,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.265076,71,69
197,23572848[].aqua,69.39,66.29,2108,0.4626150131225586,0,0,5723,8498,0.2662007808685303,0.6175927,0.5,0.55,0.6175927306454424,0.916635036468506,0.8564168355705243,0.590034590170399,3.5378379821777344,2.655867059840672,BendWorstOCT,2026-07-10 07:55:30,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,2,0.5429213483146078,0.5429213483146078,0.0,10.728662014007568,254.0,616614694,0.067697544,False,False,EQP,False,4,0.04,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.168292,20,18
196,23572848[].aqua,64.17,60.88,1628,0.1635148525238037,0,0,5723,8498,0.1963429450988769,0.5904111,0.29,0.41,0.5904110694719515,0.5697119235992432,0.6985118780395468,0.5464593584202423,4.278030872344971,4.030384845030752,BendWorstOCT,2026-07-10 07:55:27,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,2,0.4887719298245614,0.4887719298245614,0.0,6.303345918655396,111.0,-1261247053,0.062351768,False,False,EQP,False,4,0.06,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.171488,12,10
195,23572848[].aqua,64.17,60.88,756,0.0754315853118896,0,0,5723,8498,0.1717252731323242,0.5638693,0.36,0.54,0.5638693194777377,0.6447949409484863,0.8304807562561892,0.5035152610365403,6.710088014602661,6.779189653086632,BendWorstOCT,2026-07-10 07:55:27,transfusion,Quantile Thresholds,5.0,4,0,4,16,2,2,0.4487719298245616,0.4487719298245616,0.0,7.363681077957153,49.0,205635883,0.061985664,False,False,EQP,False,4,0.08,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.169284,12,11
164,23572848[].aqua,75.77,75.68,1894,1.1631693840026855,0,0,0,0,0.0064733028411865,0.9998258,0.02,0.0,0.9997999999999996,0.1602940559387207,0.0242425650262337,0.9997999999999996,0.1800260543823242,0.0384222799397097,BendWorstOCT,2026-07-10 07:49:26,wpbc,Quantile Thresholds,5.0,32,0,32,127,2,9,0.755956756756757,0.9994484400514304,0.3220973701449716,3600.0012819767,200469.0,-425873198,0.355655128,False,False,EQP,False,3,0.0001,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.40876,3674,3575
163,23572848[].aqua,74.23,73.91,2052,1.533203125,0,0,0,0,0.0066466331481933,0.9996516,0.0,0.0,0.9995999999999994,0.1399800777435302,0.0233594695510769,0.9995999999999994,0.1613919734954834,0.038678962853297,BendWorstOCT,2026-07-10 07:49:26,wpbc,Quantile Thresholds,5.0,32,0,32,127,2,9,0.7375305177108054,0.9988523352416264,0.3543200060953796,3600.0011270046234,159410.0,-579354718,0.332952456,False,False,EQP,False,3,0.0002,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.36372,3674,3575
162,23572848[].aqua,75.26,75.0,1859,1.0775346755981443,0,0,0,0,0.0067634582519531,0.9992578,0.0,0.0,0.9992421052631576,0.1221699714660644,0.0267813870620147,0.9992,0.1620550155639648,0.0595416368715593,BendWorstOCT,2026-07-10 07:49:26,wpbc,Quantile Thresholds,5.0,32,0,32,127,2,9,0.7468000515499685,0.9976032050796132,0.3358370865255132,3600.001538991928,179719.0,2084107621,0.357095656,False,False,EQP,False,3,0.0004,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,True,2,Recursive,True,True,True,True,True,0.398268,3674,3577
