Accuracy,Worst Class Accuracy,Average Leaf Depth,Max Leaf Depth,Leaves Used,CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,EQP Initial Cuts - Auxiliary Vars,EQP Initial Cuts - Cuts,EQP Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,Presolve,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Benders Cuts-Relax w,Benders Cuts-EC Level,Solution Polishing-Enabled,Solution Polishing-Check Validity,Solution Polishing-Use Cache,EQP Initial Cuts-Enabled,EQP Initial Cuts-Features Removed,EQP Initial Cuts-H Variant,EQP Initial Cuts-Disaggregate Alpha,EQP Initial Cuts-Group Selection,EQP Initial Cuts-Ignore Dataset Check,EQP Initial Cuts-Filter Dominated,EQP Initial Cuts-Beta Dependence,Memory,Walltime,CPUtime
58.56,57.98611111111112,3.636363636363636,4,11,0.7093,0.0114245414733886,13319,2.678035259246826,0,0,0,0,0,0.9999,0.0,0.0,0.9997333333333304,0.1512930393218994,0.0090175025703149,0.9997333333333304,0.1739339828491211,0.027526325072506,BendWorstOCT,2026-07-09 19:04:03,balance-scale,,,4,4,0,20,3,9,0.5787614583333321,0.7484813648293964,0.293246732401306,3600.000787973404,45082.0,-484540693,0.177404696,True,False,Baseline,False,4,0.0001,59,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.25474,3606,3574
55.68,55.55555555555556,3.0,4,7,0.7038,0.0387177467346191,13144,2.253840684890747,0,0,0,0,0,0.9994,0.33,0.0,0.9983999999999972,1.981557846069336,0.0090408456708736,0.9983999999999972,2.3045589923858643,0.0277240395453015,BendWorstOCT,2026-07-09 19:04:45,balance-scale,,,4,4,0,20,3,9,0.5513555555555542,0.7423171610147741,0.3463492904624932,3600.019830942154,53215.0,-1852333608,0.202703776,True,False,Baseline,False,4,0.0006,56,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.291972,3683,3588
81.27340823970037,81.13207547169812,3.1666666666666665,4,6,0.8152059925093633,0.010725975036621,4373,0.6123740673065186,0,0,0,0,0,0.996,0.0,0.0,0.9800000000000044,0.0635509490966796,0.0126652385751201,0.9431245283018916,0.0981061458587646,0.0478402978933227,BendWorstOCT,2026-07-09 19:05:22,spect,,,22,22,0,22,2,9,0.787320755074449,0.8564766621438263,0.0878370176623096,3600.000515937805,675599.0,-1914955245,0.520120952,True,False,Baseline,False,4,0.004,82,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.691896,3605,3578
82.39700374531836,82.0754716981132,3.25,4,8,0.8052059925093633,0.0108575820922851,4387,0.6461532115936279,0,0,0,0,0,0.994,0.0,0.0,0.9700000000000002,0.0741581916809082,0.0170891466113556,0.9283453416149108,0.1196250915527343,0.069559977922874,BendWorstOCT,2026-07-09 19:05:22,spect,,,22,22,0,22,2,9,0.7727547171584112,0.839121118012425,0.0858828802728731,3600.000559091568,728160.0,-1177959301,0.564395336,True,False,Baseline,False,4,0.006,81,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.756756,3606,3578
82.39700374531836,82.0754716981132,3.636363636363636,4,11,0.8322059925093633,0.0110437870025634,4682,0.7244596481323242,0,0,0,0,0,0.9994,0.0,0.0,0.9976000000000006,0.04305100440979,0.0079519602487701,0.9976,0.0576481819152832,0.0209470886750507,BendWorstOCT,2026-07-09 19:05:41,spect,,,22,22,0,22,2,9,0.8141547178882198,0.8996046567643562,0.1049554058935863,3600.000594139099,647237.0,-542133308,0.499845544,True,False,Baseline,False,4,0.0006,86,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.68104,3605,3576
82.39700374531836,82.0754716981132,3.636363636363636,4,11,0.8332059925093633,0.0111951828002929,4693,0.7746305465698242,0,0,0,0,0,0.9996,0.0,0.0,0.9984000000000004,0.0434639453887939,0.0079123578114424,0.9984,0.0581939220428466,0.0208610025307577,BendWorstOCT,2026-07-09 19:05:41,spect,,,22,22,0,22,2,9,0.8163547169811513,0.89733094339623,0.0991924524115273,3600.0007388591766,676569.0,-1407130005,0.555079064,True,False,Baseline,False,4,0.0004,87,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.7683,3605,3577
82.39700374531836,81.81818181818181,3.2857142857142856,4,7,0.8252059925093633,0.0117406845092773,4572,0.7325003147125244,0,0,0,0,0,0.998,0.0,0.0,0.9920000000000022,0.045224905014038,0.008758139392088,0.9485988439306398,0.1071507930755615,0.0520792752795224,BendWorstOCT,2026-07-09 19:05:41,spect,,,22,22,0,22,2,9,0.8041818181818224,0.8820395336070992,0.0968160603298711,3600.0005807876587,670261.0,1541083396,0.498788656,True,False,Baseline,False,4,0.002,83,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.675696,3605,3578
82.02247191011236,81.81818181818181,3.2857142857142856,4,7,0.8302059925093633,0.0106630325317382,4485,0.7332212924957275,0,0,0,0,0,0.999,0.0,0.0,0.9960000000000012,0.0430500507354736,0.008764664992088,0.953104816955688,0.1667709350585937,0.0719972174285938,BendWorstOCT,2026-07-09 19:05:41,spect,,,22,22,0,22,2,9,0.8111818181818183,0.893296141451096,0.1012280125475798,3600.0009529590607,593344.0,-1323592525,0.518295008,True,False,Baseline,False,4,0.001,84,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.688808,3606,3577
82.02247191011236,81.81818181818181,3.25,4,8,0.8312059925093633,0.0107948780059814,4924,0.8100168704986572,0,0,0,0,0,0.9992,0.0,0.0,0.9968000000000008,0.0426399707794189,0.0079118858114424,0.9968,0.0571489334106445,0.0208512365307577,BendWorstOCT,2026-07-09 19:05:41,spect,,,22,22,0,22,2,9,0.8117818181818184,0.8942943479741258,0.1016437273467323,3600.000813961029,691940.0,486360011,0.558678008,True,False,Baseline,False,4,0.0008,85,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.757468,3606,3577
49.826388888888886,40.0,2.25,3,4,0.6202314814814816,0.0071761608123779,15980,1.2848331928253174,0,0,0,0,0,0.92,0.0,0.0,0.8260322049596334,0.1856410503387451,0.0516497031230103,0.7633258868616053,0.9234578609466552,1.3110703738483755,BendWorstOCT,2026-07-09 19:06:02,car_evaluation,,,6,6,0,19,4,9,0.0800000000000212,0.452790795514461,4.659884943929258,3600.000881910324,18939.0,-1028910426,0.244867552,True,False,Baseline,False,3,0.08,90,23560093[].aqua,3600,1,0,0,0.05,-1,-1,0,-1,inf,True,False,False,1,False,False,True,False,0,Chain,False,False,False,False,False,0.323444,3605,3579
