CART Obj,CART Runtime,Benders Cuts - Cuts Added,Benders Cuts - Time,Solution Polishing - Solutions Found,Solution Polishing - Time,Cut Set Callback - Cuts Added,Cut Set Callback - Time,Cut Set Initial Cuts - Cuts,Cut Set Initial Cuts - Time,Initial Root Relaxation - Obj,Initial Root Relaxation - Time,Initial Root Relaxation - Work,Presolve Relaxation - Obj,Presolve Relaxation - Time,Presolve Relaxation - Work,Final Root Relaxation - Obj,Final Root Relaxation - Time,Final Root Relaxation - Work,Model,Begin Opt Time,Dataset,Encoding,Buckets,|F|,|F^C|,|F^N|,|F^B|,|K|,Model Status,Objective,Bound,Gap,Solve Time,Node Count,Fingerprint,Memory Usage,Warmstart,Polish Warmstart,Results Directory,Compare Relaxations,depth,lambda,Subjob id,Array Job id,TimeLimit,Threads,MIPGap,MIPFocus,Heuristics,NodeMethod,Method,Seed,NodeLimit,Benders Cuts-Enabled,Benders Cuts-Enhanced Cuts,Solution Polishing-Enabled,Solution Polishing-Check Validity,Cut Set Callback-Enabled,Cut Set Callback-Solution Method,Cut Set Callback-Cut Type,Cut Set Initial Cuts-Enabled,Cut Set Initial Cuts-Solution Method,Memory,Walltime,CPUtime
47.0,0.0400407314300537,233,0.0240600109100341,0,0.001420259475708,0,0,0,0,0.9994,0.07,0.0,0.9985600000000004,0.5079519748687744,0.0106722468083886,0.9980890173410408,0.7420670986175537,0.2688681794604556,BendRegOCT,2025-08-16 10:07:44,soybean-small,,,21,21,0,45,4,2,0.9976000000000004,0.9976000000000004,0.0,0.752202033996582,53.0,1248985914,0.009726624,True,True,SPNoValCheck,False,4,0.0006,296,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.1048,62,5
113.0,0.0076279640197753,1299,0.0812911987304687,8,0.0116341114044189,0,0,0,0,0.99,0.22,0.0,0.9799999999999992,0.83396315574646,0.0045770377529094,0.9698722267437894,1.0575530529022217,0.1930985820218889,BendRegOCT,2025-08-16 10:07:38,monk1,,,6,6,0,15,2,2,0.9299999999999996,0.9299999999999996,0.0,5.681848049163818,3424.0,-538364009,0.031041488,True,True,SPNoValCheck,False,4,0.01,199,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.128308,79,9
105.0,0.0383214950561523,1248,0.0584235191345214,0,0.0048649311065673,0,0,0,0,0.92,0.05,0.0,0.8400000000000012,0.4976329803466797,0.0131882877935942,0.7711612083961651,0.6809451580047607,0.2038559573793119,BendRegOCT,2025-08-16 10:07:44,monk2,,,6,6,0,15,2,2,0.5413017751479293,0.5413017751479293,0.0,1.876760959625244,1524.0,-1336183124,0.018382592,True,True,SPNoValCheck,False,4,0.08,225,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.12,72,6
47.0,0.0399808883666992,218,0.0233685970306396,0,0.0012476444244384,0,0,0,0,0.998,0.15,0.0,0.9952000000000004,0.5098659992218018,0.0110947882443614,0.9934503816793896,0.7997291088104248,0.3367773829648658,BendRegOCT,2025-08-16 10:07:44,soybean-small,,,21,21,0,45,4,2,0.9920000000000004,0.9920000000000004,0.0,0.8097319602966309,51.0,1122599379,0.009144544,True,True,SPNoValCheck,False,4,0.002,293,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.113528,67,5
212.0,0.0058610439300537,697,0.02915620803833,0,0.0009961128234863,0,0,0,0,0.92,0.01,0.0,0.7656179775280928,0.0838298797607421,0.0150616124584243,0.7161131154863782,0.1256079673767089,0.0399998001280974,BendRegOCT,2025-08-16 10:07:44,spect,,,22,22,0,22,2,2,0.7140074906367039,0.7140074906367039,0.0,0.1292750835418701,3.0,165794825,0.009072344,True,True,SPNoValCheck,False,3,0.08,300,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.110492,70,5
212.0,0.005744457244873,1067,0.0384800434112548,0,0.0029208660125732,0,0,0,0,0.96,0.0,0.0,0.880332917186852,0.0418109893798828,0.0168870104620899,0.845692883895133,0.0657219886779785,0.0398973072563397,BendRegOCT,2025-08-16 10:07:48,spect,,,22,22,0,22,2,2,0.7540074906367039,0.7540074906367039,0.0,0.3218550682067871,286.0,-1883065760,0.012924384,True,True,SPNoValCheck,False,3,0.04,302,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.112636,70,5
130.0,0.0103089809417724,1330,0.1179378032684326,0,0.0054445266723632,0,0,0,0,0.92,0.29,0.0,0.8345054945054909,0.927481174468994,0.0167657442578179,0.8345054945054909,1.0863251686096191,0.026942112235567,BendRegOCT,2025-08-16 10:07:37,plrx,Quantile Thresholds,5.0,12,0,12,48,2,2,0.634285714285714,0.634285714285714,0.0,11.394005060195925,3138.0,1364471596,0.044179824,True,True,SPNoValCheck,False,3,0.08,481,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.13466,44,12
225.0,0.0761961936950683,620,0.0443165302276611,0,0.000960350036621,0,0,0,0,0.98,0.23,0.0,0.9515967016491748,1.0821199417114258,0.0195418202302637,0.9331760258427436,1.2897849082946775,0.2268898836825504,BendRegOCT,2025-08-16 10:07:37,house-votes-84,,,16,16,0,16,2,2,0.9298275862068962,0.9298275862068964,0.0,1.296112060546875,18.0,-242377344,0.008940376,True,True,SPNoValCheck,False,3,0.02,123,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.11344,94,4
1210.0,0.0926284790039062,12628,0.5283572673797607,0,0.0106968879699707,0,0,0,0,0.92,0.26,0.0,0.8005092592592721,0.9613001346588136,0.2703783826214246,0.7927243589743992,1.056736946105957,0.3431421197891868,BendRegOCT,2025-08-16 10:07:37,car_evaluation,,,6,6,0,19,4,2,0.6202314814814831,0.6202314814814831,0.0,13.670228958129885,385.0,-1935055920,0.11443788,True,True,SPNoValCheck,False,3,0.08,60,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.189488,105,17
47.0,0.0160741806030273,235,0.0161800384521484,0,0.001065969467163,0,0,0,0,0.99,0.0,0.0,0.9760000000000004,0.0249660015106201,0.0116400131175445,0.9681232288143344,0.2909681797027588,0.3176524319276815,BendRegOCT,2025-08-16 10:07:48,soybean-small,,,21,21,0,45,4,2,0.9600000000000004,0.9600000000000004,0.0,0.3066351413726806,55.0,1729940313,0.007854536,True,True,SPNoValCheck,False,4,0.01,289,10018603[].aqua,3600,1,0,0,0.05,-1,-1,0,inf,True,False,True,False,False,LP,Lazy,False,LP,0.11298,91,5
